date,year,month,day,daily_average_dew_point_temperature,daily_average_dry_bulb_temperature,daily_average_relative_humidity,daily_average_sea_level_pressure,daily_average_station_pressure,daily_average_wet_bulb_temperature,daily_average_wind_speed,daily_cooling_degree_days,daily_departure_from_normal_average_temperature,daily_heating_degree_days,daily_maximum_dry_bulb_temperature,daily_minimum_dry_bulb_temperature,daily_peak_wind_direction,daily_peak_wind_speed,daily_precipitation,daily_snow_depth,daily_snowfall,daily_sustained_wind_direction,daily_sustained_wind_speed,daily_weather
2021/11/25,2021,11,25,30,44,57,30.02,30.04,39,8.7,0,-0.8,21,54,33,240,17,T,0,0,230,14,RA
2021/11/26,2021,11,26,33,43,69,29.66,29.65,39,16.5,0,-1.5,22,49,37,310,44,0.13,0,0,300,33,RA
2021/11/27,2021,11,27,19,38,48,29.86,29.8,31,18.4,0,-6.1,27,41,35,290,39,0,0,0,290,31,NA
2021/11/28,2021,11,28,29,38,76,29.88,29.86,34,5.1,0,-5.8,27,42,33,250,19,T,0,T,260,15,SN
2021/11/29,2021,11,29,25,39,57,29.91,29.86,34,13.4,0,-4.5,26,45,33,320,29,T,0,T,320,25,RA SN
2021/11/30,2021,11,30,26,37,62,30,29.98,33,9.9,0,-6.1,28,43,30,240,25,T,0,T,250,20,RA SN
2021/12/1,2021,12,1,29,45,54,30.13,30.09,38,9.2,0,2.2,20,50,40,270,21,T,0,0,270,17,RA
2021/12/2,2021,12,2,45,51,75,29.76,29.78,49,13.9,0,8.6,14,56,45,310,51,0.03,0,0,320,39,RA
2021/12/3,2021,12,3,23,43,44,29.93,29.85,36,17.7,0,0.9,22,49,37,280,40,0,0,0,310,30,NA
2021/12/4,2021,12,4,29,42,60,30.13,30.09,37,6.8,0,0.3,23,47,36,240,16,0,0,0,260,13,NA
2021/12/5,2021,12,5,25,44,47,30.33,30.3,37,7.8,0,2.6,21,51,36,110,23,0,0,0,340,18,NA
2021/12/6,2021,12,6,49,52,87,29.85,29.85,51,17.5,0,10.9,13,58,45,290,55,0.54,0,0,280,43,RA BR
2021/12/7,2021,12,7,21,41,47,30.14,30.08,33,11,0,0.3,24,45,37,320,41,0,0,0,320,32,NA
2021/12/8,2021,12,8,29,38,70,30,30,35,7.2,0,-2.4,27,42,34,310,23,0.07,0,T,310,20,RA SN BR
2021/12/9,2021,12,9,20,36,52,30.19,30.14,30,10.4,0,-4.1,29,40,31,300,32,0,0,0,320,25,NA
2021/12/10,2021,12,10,33,44,65,30.17,30.14,39,6.6,0,4.3,21,50,38,210,18,0,0,0,220,16,NA
2021/12/11,2021,12,11,51,52,94,29.78,29.8,52,16.4,0,12.6,13,59,44,190,36,0.16,0,0,240,30,RA DZ FG BR
2021/12/12,2021,12,12,23,49,40,30.1,30,37,16.2,0,9.9,16,57,41,280,40,0,0,0,310,32,NA
2021/12/13,2021,12,13,24,46,42,30.26,30.22,37,15.2,0,7.3,19,52,40,250,27,0,0,0,250,23,NA
2021/12/14,2021,12,14,23,46,41,30.48,30.41,37,9,0,7.6,19,54,38,340,25,0,0,0,330,16,NA
2021/12/15,2021,12,15,36,44,68,30.53,30.54,42,9.2,0,5.9,21,54,33,190,28,T,0,0,180,22,RA
2021/12/16,2021,12,16,47,56,78,30.07,30.07,50,10.9,0,18.2,9,61,50,180,25,0,0,0,190,20,NA
2021/12/17,2021,12,17,29,55,42,30.06,30.01,44,11,0,17.5,10,61,48,330,23,0,0,0,330,20,NA
2021/12/18,2021,12,18,37,44,81,30.05,30.06,41,7.2,0,6.8,21,49,39,30,19,0.06,0,0,40,15,RA DZ BR
2021/12/19,2021,12,19,27,38,63,30.05,29.99,34,16.5,0,1.1,27,47,29,320,33,0.02,0,T,330,26,RA DZ PL BR
2021/12/20,2021,12,20,15,30,52,30.31,30.29,26,10.3,0,-6.7,35,36,24,220,25,0,0,0,240,21,NA
2021/12/21,2021,12,21,26,37,63,30.05,30.06,33,7.2,0,0.6,28,43,31,230,22,0,0,0,220,17,NA
2021/12/22,2021,12,22,28,42,62,29.69,29.65,36,16,0,5.9,23,49,34,300,38,0.11,0,0,320,32,RA DZ BR
2021/12/23,2021,12,23,15,34,47,30.14,30.09,28,11.9,0,-1.9,31,38,30,310,33,0,0,0,300,25,NA
2021/12/24,2021,12,24,29,36,81,30.06,30.05,32,6.7,0,0.4,29,41,30,360,16,0.01,0,0.2,360,14,SN BR
2021/12/25,2021,12,25,41,43,90,29.62,29.62,42,6,0,7.6,22,53,33,310,20,0.16,0,0,300,15,RA BR
2021/12/26,2021,12,26,31,46,55,29.88,29.8,40,19.3,0,10.9,19,53,39,320,39,0,0,0,330,31,NA
2021/12/27,2021,12,27,25,36,66,30.03,30.01,32,7.2,0,1.1,29,39,32,330,24,0.03,0,0,330,18,NA
2021/12/28,2021,12,28,35,42,76,29.86,29.82,40,7.2,0,7.3,23,47,37,300,20,0.06,0,0,300,15,RA DZ BR
2021/12/29,2021,12,29,41,43,93,29.91,29.87,42,6.4,0,8.5,22,45,41,80,15,0.35,0,0,80,13,RA DZ BR
2021/12/30,2021,12,30,44,47,92,29.94,29.91,45,5.5,0,12.7,18,50,43,360,13,0.09,0,0,360,12,RA BR
2021/12/31,2021,12,31,47,49,95,29.95,29.93,48,7,0,14.9,16,52,46,210,16,0.01,0,0,190,14,DZ BR
2022/1/1,2022,1,1,51,51,99,29.77,29.78,51,6.2,0,17.3,14,53,48,200,18,1.22,0,0,190,15,RA DZ FG BR
2022/1/2,2022,1,2,46,49,87,29.69,29.62,48,10.8,0,15.4,16,59,38,320,30,0.03,0,0,330,24,RA FG BR
2022/1/3,2022,1,3,13,31,50,30.11,30.04,25,18.2,0,-2.4,34,39,22,360,37,0,0,0,350,30,NA
2022/1/4,2022,1,4,12,26,54,30.38,30.34,23,10.3,0,-7.3,39,33,19,330,26,0,0,0,330,22,NA
2022/1/5,2022,1,5,36,38,88,29.94,29.97,38,10.2,0,4.8,27,46,30,230,20,0.29,0,T,250,16,RA SN BR
2022/1/6,2022,1,6,22,38,55,29.88,29.83,32,11.2,0,5,27,41,34,270,29,0,0,0,270,23,NA
2022/1/7,2022,1,7,20,30,68,29.91,29.83,27,18.1,0,-2.9,35,35,25,290,38,0.31,6,6.2,290,30,SN BR
2022/1/8,2022,1,8,9,26,50,30.52,30.45,21,13.2,0,-6.8,39,31,21,310,36,0,5,0,320,29,NA
2022/1/9,2022,1,9,30,35,78,30.21,30.24,34,15.1,0,2.3,30,41,29,210,30,0.12,3,0,210,25,RA
2022/1/10,2022,1,10,13,33,46,30.12,30.06,25,18,0,0.4,32,41,25,320,35,0,0,0,320,29,NA
2022/1/11,2022,1,11,0,20,41,30.46,30.4,14,14.6,0,-12.6,45,25,14,330,38,T,0,T,320,30,SN
2022/1/12,2022,1,12,17,28,55,30.21,30.22,27,13.2,0,-4.5,37,41,15,220,32,0,0,0,220,26,NA
2022/1/13,2022,1,13,28,39,68,29.98,29.98,35,4.1,0,6.5,26,49,28,350,12,0,0,0,360,10,NA
2022/1/14,2022,1,14,27,33,68,29.81,29.77,33,20,0,0.6,32,45,21,360,48,0,0,0,340,37,NA
2022/1/15,2022,1,15,-2,16,43,30.26,30.19,12,18,0,-16.4,49,21,11,320,35,0,0,0,330,29,NA
2022/1/16,2022,1,16,14,26,66,30.23,30.19,21,12.4,0,-6.3,39,42,9,90,41,0.53,0,0.1,80,32,RA SN BR
2022/1/17,2022,1,17,32,41,76,29.24,29.24,37,25.4,0,8.7,24,46,35,70,56,0.92,0,T,70,43,RA SN BR
2022/1/18,2022,1,18,15,32,47,29.89,29.78,27,18.3,0,-0.3,33,39,24,290,42,0,0,0,300,32,NA
2022/1/19,2022,1,19,27,36,64,30.07,30.06,34,12.6,0,3.7,29,50,22,210,33,0,0,0,210,28,NA
2022/1/20,2022,1,20,24,33,68,30.16,30.08,31,13.9,0,0.7,32,45,21,350,30,0.25,0,0.1,360,25,RA SN BR
2022/1/21,2022,1,21,0,19,44,30.52,30.47,15,16.1,0,-13.3,46,24,14,360,31,0,0,0,360,26,NA
2022/1/22,2022,1,22,8,23,54,30.32,30.34,19,10.3,0,-9.4,42,32,14,20,24,0,0,0,20,18,NA
2022/1/23,2022,1,23,14,31,52,29.91,29.91,25,10.1,0,-1.4,34,37,24,230,23,T,0,0.1,230,17,SN
2022/1/24,2022,1,24,23,33,70,29.88,29.85,29,8.2,0,0.6,32,38,28,200,24,T,0,0.1,190,20,SN
2022/1/25,2022,1,25,24,37,59,29.97,29.91,32,11.2,0,4.5,28,44,29,200,25,0,0,0,200,21,NA
2022/1/26,2022,1,26,2,24,38,30.35,30.28,19,14,0,-8.6,41,29,18,310,30,0,0,0,330,25,NA
2022/1/27,2022,1,27,10,23,54,30.4,30.4,20,9.2,0,-9.6,42,32,13,220,20,0,0,0,200,17,NA
2022/1/28,2022,1,28,24,32,76,30.1,30.11,29,7.7,0,-0.7,33,35,29,20,26,0.12,0,1.9,20,21,SN BR HZ
2022/1/29,2022,1,29,11,21,72,29.7,29.66,17,25.4,0,-11.8,44,29,12,320,46,0.58,5,9.3,330,37,SN FZFG BR HZ BLSN FG
2022/1/30,2022,1,30,3,19,50,30.02,29.95,15,13.8,0,-13.8,46,25,12,320,36,0,10,0,310,30,NA
2022/1/31,2022,1,31,8,24,51,30.36,30.3,19,4.4,0,-8.9,41,32,16,360,12,0,9,0,360,9,NA
